Total,Active->Inactive,Inactive->Cache,Inactive->Flush,Queued->Free,Time (ms),NewTime,
0,0,0,0,0,5,0,
1237,0,0,0,0,6,1,
576,0,0,0,0,7,2,
469945,0,443,0,0,8,3,
470512,30,3,2,0,8,3,
469943,0,34,2,0,9,4,
898,5,0,0,0,10,5,16209095  page reclaims
470216,145,7,0,0,11,6,     13157  page faults
471699,295,29,42,0,11,6,
471670,77,291,114,0,11,6,
471379,22,178,22,0,12,7,
95617,24220,52,1,0,13,8,
97409,22563,9,1559,0,14,9,
8352,271,7962,0,0,14,9,
9228,235,8810,0,0,15,10,
191534,21223,7491,1323,0,15,10,
9134,170,8705,0,0,16,11,
9219,136,8810,0,0,16,11,
475347,4741,3220,1341,0,17,12,
266,0,0,0,0,18,13,
0,0,0,0,0,18,13,
0,0,0,0,0,18,13,
0,0,0,0,0,18,13,
0,0,0,0,0,18,13,
0,0,0,0,0,18,13,
468792,8,8811,0,0,18,13,
477070,0,5065,90,0,18,13,
472074,13035,1238,0,0,19,14,
54721,22908,0,821,0,19,14,
8092,237,7664,0,0,20,15,
82459,23465,5414,1466,0,21,16,
9243,318,8819,0,0,21,16,
7241,6,7235,0,0,21,16,
12791,3318,7093,144,0,21,16,
63312,23401,2311,1557,0,22,17,
9209,402,8796,0,0,23,18,
9249,425,8815,0,0,23,18,
19559,6432,6849,392,0,24,19,
66501,23380,6185,1537,0,24,19,
9267,241,8838,0,0,25,20,
9160,236,8745,0,0,26,21,
70642,6490,6882,365,0,26,21,
53801,23357,5869,1552,0,26,21,
9126,412,8714,0,0,27,22,
9229,412,8817,0,0,28,23,
54635,23428,7032,1512,0,28,23,
9142,372,8769,0,0,29,24,
7715,9,7706,0,0,29,24,
7275,34,7241,0,0,29,24,
472057,9786,435,1492,0,29,24,
9372,0,8884,0,0,29,24,
463636,3406,8752,0,0,30,25,
477810,0,6238,838,0,31,26,
476035,1980,8777,0,0,32,27,
544,477,0,0,0,32,27,
567,567,0,0,0,33,28,
571,571,0,0,0,34,29,
0,0,0,0,0,35,30,
1,0,0,0,0,36,31,
137204.7288,4461.79661,4102.338983,274.1016949,,,,
